Imputation Iteration #,RMSE,R,AUC,Top1,R2,Imputation Type
0,1.4674292250588803,0.5756896679064052,0.8936088299042521,0.47779960707269153,0.3133307208291244,Initial
0,1.4665451823087405,0.5786730557075053,0.8933118326009433,0.4765085602020769,0.33241338573399537,Initial
0,1.4749271125907322,0.5671740372101919,0.8912529149877814,0.46707830479932644,0.2938976422858447,Initial
0,1.4774702669650859,0.5707684352528405,0.8939101296793345,0.48004490597810834,0.33667682407371247,Initial
0,1.4614861592748742,0.5812976416593271,0.8887615895775117,0.46309289924221164,0.29347460272734816,Initial
1,1.4594913190065515,0.5808922878240177,0.900317889018045,0.48066236317709793,0.3371838185535123,Individual
1,1.457338784523499,0.5786934563098347,0.8980143229036475,0.4791467864159416,0.32124246028007286,Individual
1,1.464980137264341,0.5802602715221912,0.8983987640814035,0.47527364580409764,0.2951997970250252,Individual
1,1.4587964101507218,0.5796615697740614,0.8977983133269569,0.46842548414257645,0.34072758857075036,Individual
1,1.4539731982838344,0.584037653768161,0.8965629059501683,0.4762840303115352,0.3247009463973666,Individual
1,1.4462597128075312,0.5883527261554192,0.8972845376246837,0.4781364019085041,0.3429691946001583,Individual Ensemble
1,1.4501819069435995,0.5894717024597308,0.8991565754037344,0.4799326410328375,0.3251396912312179,Individual Ensemble
1,1.457339099664751,0.579313535504206,0.8967209127269841,0.48403031153522313,0.3325309161896085,Individual Ensemble
1,1.4490644241906718,0.5886545831027404,0.8981605766401773,0.4803255683412854,0.3384339179431113,Individual Ensemble
1,1.4631340974917622,0.5776052405674594,0.897407948490242,0.4842548414257648,0.3217464592875162,Individual Ensemble
1,1.5342506505815154,0.5894852802945756,0.8980677949775043,0.4712321077743475,0.21965933216820344,Median Ensemble
1,1.536037235136121,0.5828028853032629,0.8985251035506144,0.4882402469828796,0.3214371631637919,Median Ensemble
1,1.5442181529469712,0.5862410570146833,0.8947615893990677,0.4736458040976705,0.22673251721156262,Median Ensemble
1,1.5221444055401598,0.5894627144018154,0.8956786292403716,0.4707830479932641,0.19232490985265083,Median Ensemble
1,1.5268763943688763,0.5922618587490607,0.8970494189262896,0.4822340724108897,0.2456857815008402,Median Ensemble
1,1.4471347936992767,0.5895365729984343,0.8970143202042777,0.479202918888577,0.33426167241436433,Median Good Only Ensemble
1,1.439421961614072,0.5929750925586308,0.8949437579385449,0.4799326410328375,0.29997030369269106,Median Good Only Ensemble
1,1.4446804072675847,0.589557675501194,0.8954401201260742,0.47241088969969125,0.33118743298419073,Median Good Only Ensemble
1,1.4412515754216635,0.5921074209278445,0.8943735348608354,0.4726915520628684,0.3325051395603944,Median Good Only Ensemble
1,1.4425988305692385,0.5901801689385116,0.8961574546545595,0.4737580690429413,0.32974706781082086,Median Good Only Ensemble
