Imputation Iteration #,RMSE,R,AUC,Top1,R2,Scoring
6,1.4559333091446842,0.5826587465219197,0.8969905535252318,0.47779960707269153,0.3232406006320696,Individual
6,1.4582661091262177,0.5806377358460078,0.8974247475618914,0.46893067639629527,0.3058771914563627,Individual
0,1.4674292250588803,0.5756896679064052,0.8936088299042521,0.47779960707269153,0.3133307208291244,Ensemble
0,1.4665451823087405,0.5786730557075053,0.8933118326009433,0.4765085602020769,0.33241338573399537,Ensemble
0,1.4749271125907322,0.5671740372101919,0.8912529149877814,0.46707830479932644,0.2938976422858447,Ensemble
0,1.4774702669650859,0.5707684352528405,0.8939101296793345,0.48004490597810834,0.33667682407371247,Ensemble
0,1.4614861592748742,0.5812976416593271,0.8887615895775117,0.46309289924221164,0.29347460272734816,Ensemble
1,1.4462597128075312,0.5883527261554192,0.8972845376246837,0.4781364019085041,0.3429691946001583,Ensemble
1,1.4501819069435995,0.5894717024597308,0.8991565754037344,0.4799326410328375,0.3251396912312179,Ensemble
1,1.457339099664751,0.579313535504206,0.8967209127269841,0.48403031153522313,0.3325309161896085,Ensemble
1,1.4490644241906718,0.5886545831027404,0.8981605766401773,0.4803255683412854,0.3384339179431113,Ensemble
1,1.4631340974917622,0.5776052405674594,0.897407948490242,0.4842548414257648,0.3217464592875162,Ensemble
2,1.4516354566504488,0.5866908123607906,0.8972308694228364,0.47460005613247264,0.29678119808916426,Ensemble
2,1.4456158005311563,0.5885332932376898,0.8979717612197078,0.48212180746561883,0.33996847040505707,Ensemble
2,1.4420950606333585,0.5927559723152248,0.9014626897956496,0.49127140050519225,0.3511230336402693,Ensemble
2,1.446629058672691,0.5858900938614691,0.894994598975338,0.47830479932641035,0.33982863806626584,Ensemble
2,1.4513782807231121,0.5841069360842549,0.8967332198648419,0.4804939657591917,0.32938861204484693,Ensemble
3,1.4487152781371728,0.5866510315059571,0.896058582587014,0.4791467864159416,0.32790317870614505,Ensemble
3,1.450477233860501,0.5864544022096913,0.897137163931614,0.4751613808588268,0.3483896156379318,Ensemble
3,1.44946863127368,0.5874442241462343,0.8988649763439291,0.48010103845074376,0.31743945721670486,Ensemble
3,1.4519382270141399,0.5832101821507969,0.8962956365534155,0.4776312096547853,0.33528199124392255,Ensemble
3,1.450635980373412,0.5878882327876598,0.8956368165114628,0.47785573954532695,0.3300727333372113,Ensemble
4,1.4578730195818712,0.5810427402836704,0.8986184969372798,0.482009542520348,0.30755382200298753,Ensemble
4,1.4540446852314328,0.5830054243614008,0.8997849799440659,0.4802133033960146,0.3219131737630653,Ensemble
4,1.4481788970930118,0.5882971355387814,0.9004387309125391,0.4827392646646085,0.3360962410838586,Ensemble
4,1.4483222179143496,0.5877372206531228,0.8991722338946669,0.4843109738984002,0.31661500046683877,Ensemble
4,1.446981022917797,0.588055787042719,0.8984764300006596,0.4774066797642436,0.3371339923404584,Ensemble
5,1.4595766038522482,0.5808960483229749,0.898915512033623,0.48004490597810834,0.2991844327589811,Ensemble
5,1.4483191413274001,0.5864751774697784,0.8973513945999797,0.4827392646646085,0.3351969047340796,Ensemble
5,1.4514734701900482,0.583238293479544,0.8987917262283202,0.47527364580409764,0.33805696235693095,Ensemble
5,1.4502444412716267,0.5848817895736369,0.8962187454937587,0.47690148751052486,0.3316279734485189,Ensemble
5,1.4442120192515784,0.5888542543899916,0.898856786767619,0.47572270558518104,0.3398497716857565,Ensemble
6,1.4572556273001722,0.5816211870010388,0.8984224315314169,0.4825147347740668,0.34372855598006535,Ensemble
6,1.4573616984853013,0.5797554558063135,0.8993239616885541,0.4776312096547853,0.2940771837161057,Ensemble
6,1.4501342201085359,0.5841378089808783,0.8942638760329176,0.4707830479932641,0.31175893354789874,Ensemble
6,1.445507996262648,0.5891361128220489,0.8987888776850241,0.48088689306763965,0.3441723377158955,Ensemble
6,1.454456140056132,0.5819916272731221,0.8968367724286064,0.48414257648049397,0.3325007056831172,Ensemble
