Percent Imputed,RMSE,R,AUC,Top1,R2
0,1.4674292250588803,0.5756896679064052,0.8936088299042521,0.47779960707269153,0.3133307208291244
0,1.4665451823087405,0.5786730557075053,0.8933118326009433,0.4765085602020769,0.33241338573399537
0,1.4749271125907322,0.5671740372101919,0.8912529149877814,0.46707830479932644,0.2938976422858447
0,1.4774702669650859,0.5707684352528405,0.8939101296793345,0.48004490597810834,0.33667682407371247
0,1.4614861592748742,0.5812976416593271,0.8887615895775117,0.46309289924221164,0.29347460272734816
20,1.457497427247829,0.5813355737335312,0.8955486915756283,0.47605950042099354,0.3123778365498161
20,1.4679895646747112,0.5766739858706955,0.8966187947124533,0.4774066797642436,0.28819535640610283
20,1.4695019091859658,0.5681366765592133,0.8945411921345949,0.47460005613247264,0.32326947539061
20,1.4557169930540934,0.5814898169288768,0.8927016589257636,0.4806062307044625,0.3417847156950865
20,1.4528539108728011,0.5856960993893514,0.8953420580007954,0.4760033679483581,0.32098657736433533
40,1.4600046986733186,0.5786568105964002,0.8963808305409766,0.4762840303115352,0.29142645858775795
40,1.458213403880794,0.5806173147925583,0.8956724575012907,0.47791187201796237,0.34382670475177224
40,1.4463943966313793,0.5897599283530047,0.8971114789853689,0.47381420151557674,0.3263952063861355
40,1.450629840420229,0.5835920091188501,0.8933399720177744,0.4758911030030873,0.3487787104866429
40,1.4533553492713294,0.5831571469554073,0.8952145580149246,0.4751052483861914,0.29091934524301666
60,1.4428851261642552,0.5873358257011425,0.8963631202198896,0.48122368790345216,0.3428968927073248
60,1.454551554394104,0.5829250022722126,0.8947955471178819,0.4673028346898681,0.2996639533437824
60,1.4491827727519744,0.5850129902156312,0.8959084958850524,0.48470390120684814,0.30601190037718773
60,1.4465382914401845,0.5902895457452796,0.8937324464108781,0.47948358125175417,0.3471991229382789
60,1.4380849822691213,0.5917301653219056,0.8979696399441282,0.4765085602020769,0.354284429490194
80,1.441141814074033,0.591594794057719,0.8979633707471395,0.4770137524557957,0.3467758247551771
80,1.442529335438616,0.589847800671988,0.8964839344557946,0.47549817569463937,0.3290472232711692
80,1.4461968525225701,0.5881084464933027,0.8988111791830624,0.4759472354757227,0.3472040683612575
80,1.4444198949541438,0.5891370458691604,0.8941196236077448,0.4710637103564412,0.3282315647000198
80,1.434189992126058,0.5942744582368427,0.8983984680975928,0.4843109738984002,0.3519411492368746
100,1.4471347936992767,0.5895365729984343,0.8970143202042777,0.479202918888577,0.33426167241436433
100,1.439421961614072,0.5929750925586308,0.8949437579385449,0.4799326410328375,0.29997030369269106
100,1.4446804072675847,0.589557675501194,0.8954401201260742,0.47241088969969125,0.33118743298419073
100,1.4412515754216635,0.5921074209278445,0.8943735348608354,0.4726915520628684,0.3325051395603944
100,1.4425988305692385,0.5901801689385116,0.8961574546545595,0.4737580690429413,0.32974706781082086
